% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Feed__std,% Silica Feed__std,Starch Flow__std,Amina Flow__std,Ore Pulp Flow__std,Ore Pulp pH__std,Ore Pulp Density__std,Flotation Column 01 Air Flow__std,Flotation Column 02 Air Flow__std,Flotation Column 03 Air Flow__std,Flotation Column 04 Air Flow__std,Flotation Column 05 Air Flow__std,Flotation Column 06 Air Flow__std,Flotation Column 07 Air Flow__std,Flotation Column 01 Level__std,Flotation Column 02 Level__std,Flotation Column 03 Level__std,Flotation Column 04 Level__std,Flotation Column 05 Level__std,Flotation Column 06 Level__std,Flotation Column 07 Level__std,rows_per_timestamp,hour,dayofweek,day,month,elapsed_hours,high_silica_risk
50.370000000000005,22.56,2998.761985833334,505.2910111111111,382.0499097222222,9.455821555555556,1.6803571111111109,299.8101111111111,299.96875,299.9226722222222,296.71884763476334,295.442151331775,349.60712222222224,320.16979166666664,400.4586444444444,410.4342583333334,865.6144228675,402.4818277777778,405.87007222222223,413.8058777777778,403.9471222222222,0.0,0.0,1286.1906846435818,27.99701723298973,6.515661722014164,0.023243365978803363,0.02441756697973573,0.8864816717343875,5.610101194249732,1.5308938777015055,0.017434565802684335,0.040738654634963116,8.244497816156981,32.53271430470586,12.342179994556247,84.18529822576427,7.488379382957115,62.106378351970555,44.22524756554421,76.24684332414144,64.7500942264141,180,0,5,2,9,4223.0,0
64.03,6.26,3897.542911111111,540.6589277777778,415.9236168687994,9.715456722222223,1.6522294444444443,250.0647611111111,250.08490555555557,250.01732222222225,299.7700888888889,300.06714999999997,299.92077222222224,300.07823333333334,450.03142222222226,449.46442777777776,451.4803111111111,350.0815111111111,351.4049,348.2367888888889,351.7585222222222,0.0,0.0,652.4373620471104,6.40659853070822,0.3255708766147287,0.11829342696978878,0.003980409767043945,0.2806652684820489,2.8532160425605215,1.1018536132634547,0.739699062599023,0.5534240535570856,0.3413695428475654,1.0338992649189758,8.184548507845994,11.609764258316046,7.2667028693967275,12.92651075051616,11.102544313054262,20.36255515591435,8.582040154011269,180,1,6,14,5,1560.0,0
53.120000000000005,21.26,2040.6423333333332,454.99637777777775,400.1075,10.019590333333333,1.6209565555555554,299.5457388888889,299.89998333333335,299.95646111111114,299.98046111111114,300.1771166666667,299.4677277777778,300.24316111111114,449.48867777777775,448.1766,449.55272222222226,346.8840055555556,348.3703222222222,345.55878333333334,349.46500555555554,0.0,0.0,142.81132219392748,44.53401101170447,3.907072580590244,0.08517718538369809,0.060030287303088965,1.2975182994380348,3.971007499468285,1.6158750686165422,0.8915888836097847,1.4751335392469345,4.934478101223121,2.647755641133494,9.775461401247734,9.750856374128821,8.300726184467607,32.57896679565193,26.551567075254322,33.229394978154005,38.01465854048895,180,9,1,2,5,1280.0,0
64.03,6.26,3061.5400416666666,497.75675555555557,399.32544444444443,10.09474111111111,1.7025565555555555,299.9050722222222,300.2734055555556,299.8637777777778,299.90762777777775,299.75080555555553,299.8158888888889,299.90060555555556,450.0949388888889,450.37094999999994,449.9051944444444,353.1593277777778,352.35390555555557,347.6363,350.8135777777778,0.0,0.0,692.2155125687445,6.717373572909596,5.4087777765223946,0.042046117258831894,0.01111808103557347,0.5687655348848383,3.346526465684183,1.7814600022190168,0.8891020128356473,2.150042129037428,4.071348367813635,1.6008163420830828,8.90633806415027,8.84600836678768,6.132537527264107,35.008003027058855,31.876903383311568,24.881675410028166,41.25467499053656,180,1,2,24,5,1800.0,0
64.03,6.26,3200.567983333334,518.1365222222222,400.0557555555556,9.835378388888888,1.628573388888889,299.9877388888889,299.1165888888889,299.9764,299.92224444444446,300.04110555555553,300.02656666666667,299.93958888888886,450.0492,450.0636777777778,449.94154444444445,351.9817277777778,350.1662277777778,347.6574111111111,351.2771055555556,0.0,0.0,457.6228150475422,9.544411468646924,4.025343643884102,0.040969627288786954,0.010655637170785805,1.2932039126134742,13.097850263726018,1.3512528367736687,1.443753963427837,2.3084502220638963,1.026205557164618,1.8506928275915286,10.615786369783862,27.830938172324124,13.9894006258398,37.43219941571852,23.71376780452669,23.147527963235405,46.624797546357854,180,10,6,21,5,1737.0,1
48.07,25.01,2734.487180555557,592.8877333333334,399.35192222222224,10.369145000000001,1.7207605000000001,300.08035,299.2661611111111,299.9698777777778,299.9134055555556,300.0336222222222,299.9094,299.98362222222227,399.32572777777773,399.90343333333334,400.1809166666667,450.4360222222222,451.0606777777778,600.1932777777778,599.706638888889,0.0,0.0,1352.5283038623634,28.50735848837015,4.517905908045304,0.08054775758999909,0.03343481492687583,0.6732699926890916,3.0018642451425857,1.699764060933021,0.7956852860356121,2.117283091751612,0.19752666767918867,1.2807213859364797,8.0941942175519,12.579599859428466,6.860567014852193,21.079950360724684,18.962497574497938,12.120928604899104,20.35007606039945,180,12,5,17,6,2387.0,0
56.47,13.93,2039.2593333333332,631.2796333333333,413.1662666666667,9.806124277777778,1.8169845,299.8190722222222,300.6156111111111,299.9451833333333,299.9262444444445,300.0558111111111,299.8793111111111,299.3465277777778,449.36134444444446,449.4473277777778,449.68744999999996,352.8027777777778,350.1476833333333,348.81423333333333,349.11102222222223,0.0,0.0,143.55388406680822,19.71932112137175,7.057783066910509,0.03552126036350212,0.0032568412227185024,0.6111818608288295,3.544274491484485,1.4708390480531175,0.9044464459437227,1.574652571164999,0.46430667892974176,7.468507001202195,12.910965027329034,11.435073631804208,9.249843899148306,34.12224249738893,14.791799926714273,23.620282064149865,23.79430859305914,180,23,5,29,4,1222.0,0
50.99,22.93,3295.0566111111107,455.16117777777777,398.2103055555555,10.032044666666666,1.6762507777777778,300.0776222222222,300.07287777777776,299.94533333333334,299.8522111111111,299.9075277777778,300.3365166666666,300.9700666666667,609.2247944444445,599.8456055555556,600.22015,499.6146833333333,499.78122777777776,449.2544611111111,447.92637222222226,0.0,0.0,670.483489021305,12.621758087681394,3.58760022097289,0.04704123097406827,0.016941420951015314,1.6649943214970127,2.7330190056166317,1.2880731086911683,1.5757039026306363,2.2144409588741603,4.554321875946214,5.077678899523525,39.175803488278206,14.305746794556676,8.360127542537853,29.58226699044828,13.370376298548361,14.397266014136886,25.837789759280582,180,1,2,12,7,2976.0,0
64.03,6.26,2813.6837841111114,391.0546722222222,399.25416666666666,9.377763777777778,1.6237653333333333,250.16816666666665,249.85630555555556,249.99085000000002,299.93941666666666,299.991,299.9691,299.97249444444446,450.74878333333334,450.46555555555557,135.67943663594556,346.92636111111113,347.4430222222222,348.7523388888889,347.53526111111114,0.0,0.0,1283.4062977956517,12.484973413770717,3.891996220878609,0.03658422202649324,0.0072676722851574265,0.3377000723850826,2.715843010307442,0.6207515380121433,0.3732031450832165,1.2962603990796884,4.1022887163414135,0.8996513491176062,10.455514943094748,10.903021602199315,0.13421191186606435,49.7815288324633,38.03813567664772,20.92192574182084,48.03761638183654,180,8,1,16,5,1615.0,0
64.03,6.26,3056.686224074074,540.63225,399.1238222222222,9.745590722222222,1.6574376666666666,300.44132777777776,300.4087333333333,300.0055722222222,299.9460222222222,299.98608333333334,300.1506722222222,299.96298333333334,449.1610888888889,449.0704,449.6901722222222,351.74618888888887,350.59819444444446,350.63262222222227,352.2508722222222,0.0,0.0,700.5975877020728,4.49439064696204,4.612307047642034,0.02775778029130958,0.003012370070964601,1.2828763637950356,3.4411346733308843,1.6105504201654284,1.1419320030133893,1.9526340269122613,3.1626338932228175,2.2652375898812886,7.873771471924915,11.874764343673434,10.993396172667852,24.26481769942942,17.935371880448116,13.276916645129933,32.31577196802249,180,8,1,23,5,1783.0,0
59.209999999999994,9.69,4044.5947777777783,535.094161111111,380.71472777777774,9.793457666666667,1.7409710555555558,299.90385,300.01487222222227,299.9074166666667,299.8773888888889,299.99210555555555,299.6751444444444,300.04125555555555,499.5091722222222,497.6002833333334,696.6318277777779,591.2666222222222,347.73362222222227,585.0334888888889,350.53152222222224,0.0,0.0,438.4225913715556,14.376156556435967,2.8361935697638727,0.04738230897122571,0.009007739727418631,0.707305713213488,3.104435107015896,1.7774451230003696,0.9460722334936478,1.175335439103904,5.5682716849048886,5.750111279234528,13.88945024183245,14.40003257684394,79.65409749695036,69.89559580034613,31.33341906639966,88.37510246755653,40.442614628694095,180,18,1,22,8,3977.0,0
64.03,6.26,3523.1175555555556,510.01700555555556,394.83609722222224,9.537699833333335,1.7033077222222224,250.06882222222222,250.56730000000002,250.00601111111112,299.9484166666667,300.26290555555556,300.0472722222222,299.92496666666665,449.8965166666667,449.24460000000005,877.3587575482001,350.3039722222222,348.98401666666666,350.93605,351.5468166666667,0.0,0.0,276.8535943491157,12.08957434435748,8.989740287416753,0.07168329033924903,0.011641369947569596,0.33008452041450553,2.563346759609399,1.2224434592191389,1.291865648651851,1.8541373546663609,4.1974693696593155,1.3035363009052454,32.027676420467444,9.504585023731082,0.27639928805264485,42.424743351077375,30.004559900950433,34.12274146653438,38.50699720793541,180,4,2,17,5,1635.0,0
59.0,9.66,3254.962129444445,542.7300166666666,399.1293,10.215491666666667,1.6841966666666666,250.03918333333334,215.5706156542,250.08673888888887,297.98034241171996,290.79730404135444,250.07486666666668,250.0331111111111,549.2277555555555,567.70702030457,549.9754166666667,451.2801444444445,450.15146111111113,449.35943888888886,451.6205,0.0,0.0,1340.931990243061,20.585048114394787,5.698316645095972,0.014774248899877536,0.023469422612790815,0.8466793337307026,0.15875538454100135,1.3210437387152523,0.044640936141345934,0.006182544594849368,5.623053001706459,1.7628677863353137,13.390300426312816,11.542665641036663,5.479445400641474,27.598487436637672,11.44143031237494,5.246534952988695,16.685104741621767,180,17,0,17,7,3112.0,0
64.03,6.26,2061.2107540514594,546.5799388888888,407.82462065727884,10.020439166666666,1.6793614444444445,300.15523333333334,250.23070555555557,299.8234722222222,299.9902055555556,300.03520000000003,299.77947777777774,299.3170611111111,454.2697,448.2198555555555,400.0536333333333,354.4867888888889,353.68399444444447,349.6305388888889,351.56328333333335,0.0,0.0,1022.890898549248,28.552206450477698,9.264656561790813,0.04344844982370947,0.015002696984291571,0.72374126054982,2.9038299359011748,1.6544267937551789,0.8800129841038365,1.7276576995072428,4.302169836845348,2.2221552555118254,99.4954622817264,8.255037597412345,6.220345739676457,23.107273407592036,29.27912114032744,47.49826703685139,37.71386368097946,180,8,2,7,6,2143.0,0
64.03,6.26,2569.1661454106284,478.7622,400.9202055555556,9.125305666666666,1.658701777777778,252.51842222222223,250.27283333333332,250.19072222222223,300.1912861111111,300.2650916666667,300.61095,300.06885,450.35389444444445,447.6809944444444,423.12326544230893,344.45581944444444,346.1660333333333,349.7193444444444,345.95461666666665,0.0,0.0,1058.4651308689245,12.867168210173075,3.6645919170977153,0.14026394556177016,0.02697359734084738,2.427791376163289,12.946246225365007,1.0620070257957375,0.956716219725013,1.7434907477329904,3.7279864855426834,0.9896536513964146,10.707775799492223,25.25192863800425,322.41455896755906,36.809553796865636,22.074899161189094,13.66305966682192,38.875548414606165,180,15,0,15,5,1598.0,0
57.459999999999994,10.8,2932.2945338383847,454.85583333333335,380.126935185185,10.341268055555556,1.6076358333333334,299.8923388888889,299.93243333333334,299.9371555555556,305.52260363792163,289.98717608781277,350.25241111111114,349.79762222222223,399.03065,399.24695,399.2342,348.5403944444445,347.50455555555556,350.0347111111111,350.1004277777778,0.0,0.0,980.0773837371504,28.569250343001812,3.2655695188751066,0.15687467766800575,0.01646973597828554,0.671889360633206,2.9255958540289075,1.3126712833092278,0.0019624846731838624,0.014619706284457246,9.042887245902097,0.9058178082420371,13.793092397797052,28.10255525674865,5.587042435055521,19.21229106862386,20.118427971009343,18.85441893046381,20.882335603202613,180,2,3,3,8,3505.0,0
56.76,13.34,3974.9395555555557,566.9276055555555,399.4921722222222,9.937123166666668,1.6990294444444447,250.1939277777778,250.40047222222222,250.05585,299.21748741548,290.62596569549055,250.40188888888886,251.3022,549.8489333333333,311.31867,550.3402833333333,450.91668888888887,449.88671666666664,449.7165777777778,448.4161111111111,0.0,0.0,299.63460674966234,30.131094074891507,3.958223254371915,0.044987046944094125,0.024926949711378085,0.399741083293717,2.23920501376556,0.9200896120306246,0.04464093614152629,0.006182544595387761,4.992720750017406,3.4094923121583243,12.030897146560232,118.29927178310095,6.702889429421872,19.836796041780786,14.785434816164708,9.437816480612893,22.4700647805744,180,9,0,17,7,3104.0,0
52.78,17.22,2951.2364444444447,469.31381111111114,400.38426111111113,9.696441111111112,1.7075394444444445,250.25741666666667,249.9732111111111,250.9112388888889,300.06716666666665,300.04054444444444,299.8942833333333,300.14577777777777,606.6438722222222,598.6725666666667,598.7259944444445,513.4027944444445,504.36758888888886,442.00390555555555,448.52160000000003,0.0,0.0,651.4976673324168,3.090342050088166,4.526233876419054,0.06350894516950699,0.004400126352001881,0.2791134551277383,3.6036736240627243,1.2849998805182867,0.8695804895337444,1.2941605959171574,0.39951126079248755,3.767787979933106,10.355833292846418,5.757420402402551,5.555897074777859,29.71183310618799,20.14762453210161,21.5710888044101,42.237317030428066,180,12,2,12,7,2987.0,0
