feature,bin,rows,error_rate,large_margin_error_rate,fp_count,fn_count,positive_rate
Flotation Column 06 Level,"(203.702, 354.16]",976,0.18442622950819673,0.04815573770491803,136,44,0.17520491803278687
% Silica Feed,"(13.85, 19.58]",979,0.16241062308478038,0.04800817160367722,133,26,0.17568947906026558
Flotation Column 04 Level,"(165.724, 351.469]",976,0.17930327868852458,0.0471311475409836,136,39,0.1680327868852459
Flotation Column 07 Level,"(185.06, 350.965]",976,0.18442622950819673,0.04610655737704918,138,42,0.17827868852459017
% Iron Feed,"(52.67, 56.08]",969,0.1568627450980392,0.04540763673890609,111,41,0.17234262125902994
Flotation Column 05 Level,"(214.73499999999999, 350.973]",976,0.18545081967213115,0.045081967213114756,140,41,0.1875
Flotation Column 04 Air Flow__std,"(0.0135, 0.824]",976,0.1290983606557377,0.045081967213114756,89,37,0.1598360655737705
Flotation Column 01 Air Flow__std,"(0.772, 1.331]",976,0.10553278688524591,0.0430327868852459,65,38,0.1290983606557377
Flotation Column 07 Air Flow__std,"(4.534, 53.939]",976,0.11987704918032786,0.042008196721311473,89,28,0.16393442622950818
Flotation Column 01 Level,"(415.591, 499.576]",976,0.18442622950819673,0.039959016393442626,130,50,0.15778688524590165
Flotation Column 05 Level,"(350.973, 401.205]",976,0.11270491803278689,0.039959016393442626,70,40,0.12192622950819672
Flotation Column 03 Level,"(404.308, 499.511]",976,0.16495901639344263,0.0389344262295082,121,40,0.13934426229508196
Flotation Column 07 Level,"(350.965, 401.026]",976,0.11782786885245902,0.0389344262295082,77,38,0.12090163934426229
Ore Pulp Flow,"(399.842, 400.578]",976,0.11987704918032786,0.03790983606557377,77,40,0.1096311475409836
Amina Flow,"(435.32, 501.967]",976,0.11270491803278689,0.03790983606557377,75,35,0.09938524590163934
Amina Flow__std,"(-0.001, 11.459]",976,0.15061475409836064,0.036885245901639344,114,33,0.15881147540983606
Flotation Column 06 Level__std,"(26.172, 48.978]",976,0.13729508196721313,0.036885245901639344,89,45,0.16598360655737704
Flotation Column 05 Level__std,"(14.244, 22.722]",976,0.12397540983606557,0.036885245901639344,82,39,0.12295081967213115
Flotation Column 06 Level,"(354.16, 408.032]",976,0.11782786885245902,0.036885245901639344,81,34,0.12397540983606557
dayofweek,"(3.0, 5.0]",1144,0.12062937062937062,0.03671328671328671,94,44,0.13286713286713286
Flotation Column 01 Air Flow,"(175.885, 250.092]",976,0.1762295081967213,0.035860655737704916,130,42,0.16700819672131148
elapsed_hours,"(1340.75, 2365.5]",976,0.14344262295081966,0.035860655737704916,106,34,0.12704918032786885
Flotation Column 02 Level__std,"(15.566, 34.099]",976,0.11475409836065574,0.035860655737704916,70,42,0.1014344262295082
Flotation Column 04 Level,"(351.469, 401.344]",976,0.11168032786885246,0.035860655737704916,70,39,0.1290983606557377
Flotation Column 02 Air Flow__std,"(3.422, 4.504]",976,0.10040983606557377,0.035860655737704916,56,42,0.09836065573770492
Flotation Column 02 Level,"(224.909, 449.269]",976,0.09118852459016394,0.035860655737704916,57,32,0.11987704918032786
month,"(2.999, 5.0]",1598,0.16833541927409262,0.03566958698372966,198,71,0.155819774718398
Flotation Column 02 Level,"(449.269, 499.833]",976,0.17418032786885246,0.03483606557377049,118,52,0.1413934426229508
Flotation Column 05 Air Flow__std,"(1.407, 1.88]",976,0.11372950819672131,0.03483606557377049,82,29,0.11065573770491803
Starch Flow__std,"(587.561, 930.648]",976,0.10553278688524591,0.03483606557377049,72,31,0.11475409836065574
day,"(15.0, 23.0]",907,0.11907386990077178,0.034178610804851156,74,34,0.11797133406835722
Ore Pulp Density__std,"(-0.001, 0.00804]",976,0.13729508196721313,0.03381147540983607,97,37,0.1526639344262295
Amina Flow,"(549.266, 736.982]",976,0.13319672131147542,0.03381147540983607,79,51,0.16598360655737704
Flotation Column 01 Air Flow,"(250.092, 299.838]",976,0.12807377049180327,0.03381147540983607,88,37,0.14651639344262296
Flotation Column 07 Air Flow,"(300.112, 350.853]",976,0.12192622950819672,0.03381147540983607,80,39,0.12295081967213115
Flotation Column 04 Air Flow,"(299.982, 305.597]",976,0.11577868852459017,0.03381147540983607,82,31,0.12397540983606557
Flotation Column 06 Air Flow,"(300.094, 354.979]",976,0.11577868852459017,0.03381147540983607,76,37,0.12807377049180327
Ore Pulp Flow__std,"(3.232, 3.881]",976,0.11270491803278689,0.03381147540983607,66,44,0.13524590163934427
Ore Pulp pH__std,"(0.0563, 0.0895]",976,0.11270491803278689,0.03381147540983607,76,34,0.10348360655737705
Flotation Column 01 Level,"(181.92499999999998, 415.591]",976,0.09016393442622951,0.03381147540983607,58,30,0.12090163934426229
hour,"(12.0, 18.0]",981,0.10091743119266056,0.03363914373088685,63,36,0.11009174311926606
Flotation Column 03 Air Flow__std,"(-0.001, 1.235]",976,0.14549180327868852,0.03278688524590164,108,34,0.14651639344262296
Flotation Column 05 Air Flow,"(300.139, 307.01]",976,0.14344262295081966,0.03278688524590164,96,44,0.14241803278688525
Flotation Column 01 Air Flow__std,"(-0.001, 0.49]",976,0.13319672131147542,0.03278688524590164,96,34,0.13114754098360656
Flotation Column 06 Level__std,"(15.789, 26.172]",976,0.13114754098360656,0.03278688524590164,87,41,0.1096311475409836
Ore Pulp pH,"(9.542, 9.799]",976,0.12807377049180327,0.03278688524590164,83,42,0.13012295081967212
Flotation Column 03 Air Flow,"(250.089, 299.89]",976,0.12295081967213115,0.03278688524590164,79,41,0.1290983606557377
Starch Flow,"(2163.093, 2907.818]",976,0.1168032786885246,0.03278688524590164,82,32,0.11372950819672131
Flotation Column 07 Level__std,"(19.689, 31.278]",976,0.10655737704918032,0.03278688524590164,69,35,0.10553278688524591
Flotation Column 03 Air Flow,"(177.202, 250.089]",976,0.1711065573770492,0.031762295081967214,130,37,0.18237704918032788
Flotation Column 02 Air Flow,"(178.18699999999998, 250.098]",976,0.15778688524590165,0.031762295081967214,112,42,0.16393442622950818
elapsed_hours,"(-0.001, 1340.75]",976,0.14651639344262296,0.031762295081967214,93,50,0.14549180327868852
Flotation Column 06 Air Flow__std,"(-0.001, 0.752]",976,0.14549180327868852,0.031762295081967214,95,47,0.13319672131147542
Flotation Column 02 Air Flow,"(250.098, 299.529]",976,0.13114754098360656,0.031762295081967214,96,32,0.125
Flotation Column 07 Level__std,"(31.278, 48.04]",976,0.13114754098360656,0.031762295081967214,81,47,0.13422131147540983
Ore Pulp pH__std,"(0.0329, 0.0563]",976,0.1260245901639344,0.031762295081967214,80,43,0.12090163934426229
Flotation Column 04 Level__std,"(30.426, 52.35]",976,0.11987704918032786,0.031762295081967214,69,48,0.13114754098360656
Ore Pulp pH,"(8.752, 9.542]",976,0.11475409836065574,0.031762295081967214,78,34,0.16290983606557377
Flotation Column 03 Level,"(135.214, 404.308]",976,0.10758196721311475,0.031762295081967214,69,36,0.13319672131147542
Ore Pulp Density,"(1.5190000000000001, 1.651]",976,0.08811475409836066,0.031762295081967214,54,32,0.12704918032786885
Flotation Column 03 Level__std,"(11.177, 32.157]",976,0.13729508196721313,0.030737704918032786,92,42,0.1260245901639344
Flotation Column 03 Level__std,"(7.186, 11.177]",976,0.11885245901639344,0.030737704918032786,88,28,0.10655737704918032
Amina Flow__std,"(21.49, 39.155]",976,0.09836065573770492,0.030737704918032786,58,38,0.09221311475409837
Flotation Column 02 Level__std,"(34.099, 262.696]",976,0.0932377049180328,0.030737704918032786,57,34,0.1413934426229508
day,"(0.999, 8.0]",1092,0.14102564102564102,0.03021978021978022,104,50,0.14652014652014653
Ore Pulp Flow,"(398.853, 399.842]",976,0.12295081967213115,0.02971311475409836,75,45,0.1260245901639344
Ore Pulp Density__std,"(0.00804, 0.016]",976,0.12192622950819672,0.02971311475409836,84,35,0.11577868852459017
Flotation Column 01 Level__std,"(12.211, 20.394]",976,0.11885245901639344,0.02971311475409836,75,41,0.12704918032786885
Flotation Column 05 Air Flow__std,"(0.0212, 1.407]",976,0.10860655737704918,0.02971311475409836,72,34,0.14651639344262296
elapsed_hours,"(3377.25, 4414.0]",976,0.10553278688524591,0.02971311475409836,75,28,0.14549180327868852
Flotation Column 07 Air Flow,"(287.793, 299.859]",976,0.09528688524590163,0.02971311475409836,65,28,0.11168032786885246
