feature,importance_rank,importance,positive_median,negative_median,median_diff_pos_minus_neg,positive_mean,negative_mean,mannwhitney_p,cliffs_delta,mannwhitney_p_holm
elapsed_hours,1,0.03917480027848581,1710.0,2396.5,-686.5,2231.4252631578947,2370.5668139149643,0.01952141477060037,-0.06580720160423145,0.23425697724720443
day,2,0.03776261562435992,14.0,15.0,-1.0,15.282105263157895,15.337106570955273,0.7867649450915087,-0.007618936906042024,1.0
Amina Flow,3,0.03511514742729767,523.911061111111,500.0164,23.894661111111077,502.21776700183335,486.2998146876646,9.2630538538491e-07,0.13825917637827312,1.482088616615856e-05
% Silica Feed,4,0.03498501190760763,14.93,13.469999999999999,1.4600000000000009,16.168442105263157,14.452827167310877,2.6667887584978997e-08,0.15612891975936527,5.066898641146009e-07
% Iron Feed,5,0.034668469141439104,55.17,56.26,-1.0899999999999963,55.22231578947368,56.43536996134731,3.0052121643049964e-07,-0.14380888720974164,5.371364317786525e-06
dayofweek,6,0.03373954397912186,3.0,3.0,0.0,3.0210526315789474,3.0135284373274436,0.9411523393956588,0.002059344938824145,1.0
Flotation Column 03 Air Flow,7,0.029660329863178903,289.03705,299.893175,-10.856124999999963,270.34750002200065,282.48987201408676,1.80629381462215e-15,-0.22412450231044204,4.33510515509316e-14
Flotation Column 01 Air Flow,8,0.027525727119656195,265.0722666666667,299.8512333333333,-34.77896666666663,269.14646882411404,281.59482278114723,5.136735939699356e-14,-0.21213287221366503,1.181449266130852e-12
Flotation Column 05 Level,9,0.026780148427318563,368.2975432692306,401.8197861111111,-33.52224284188054,402.83741835347564,428.19150528075943,7.387649932977652e-16,-0.22722311023278793,1.8469124832444128e-14
Flotation Column 06 Level,10,0.026521550633569712,395.44519444444444,419.48232777777775,-24.037133333333315,416.8079605071742,431.6636765141473,1.7599507530810372e-08,-0.15875555813885903,3.5199015061620745e-07
hour,11,0.025752470120365252,11.0,12.0,-1.0,11.44,11.51601325234677,0.8220293837426043,-0.006333226772065448,1.0
Ore Pulp pH,12,0.02556693027888849,9.67282488888889,9.807014444444444,-0.13418955555555456,9.64793699396259,9.783340125989241,6.587454096883484e-11,-0.18399372257258276,1.4492399013143664e-09
Flotation Column 02 Air Flow,13,0.024368439184923766,250.79925555555556,299.5827416666666,-48.783486111111046,269.3886001877577,278.1788360947235,2.9840912876591805e-07,-0.1443953616786306,5.371364317786525e-06
Flotation Column 07 Level,14,0.023839757054873553,359.1732055555555,401.5747416666667,-42.40153611111117,405.94158357382196,422.99913987053867,3.824120005286918e-10,-0.17642186637217008,8.030652011102528e-09
month,15,0.023747904517383355,5.0,6.0,-1.0,5.850526315789474,6.038652678078409,0.014154661075847563,-0.0681158999099073,0.18401059398601832
Flotation Column 06 Air Flow,36,0.016779573613585237,299.8588833333333,299.8720583333333,-0.013174999999989723,290.05433211695913,292.3355802999735,0.6364807943000128,-0.013318027260309803,1.0
Ore Pulp pH__std,37,0.016472980567561232,0.055330788124754754,0.05685635167393879,-0.0015255635491840391,0.07037413718180106,0.06698102120363282,0.9466972879751409,0.0018843907117323956,1.0
Flotation Column 02 Level__std,38,0.016145763510678972,15.754034514437855,15.527952484292289,0.22608203014556594,33.09628670520382,33.382866100824444,0.4728124742915837,0.02022959109535296,1.0
Ore Pulp Density__std,39,0.016072373053114243,0.013976988375960484,0.016262383797703055,-0.0022853954217425705,0.018889052214285454,0.02087379937457347,0.00229572862932255,-0.08591531285419512,0.03443592943983825
Ore Pulp Flow__std,40,0.0159520930055035,3.755701546681629,3.8859554693978735,-0.13025392271624447,4.160657295838466,4.251210686960809,0.07294123518197133,-0.050528640762591184,0.8023535870016847
Flotation Column 03 Level__std,41,0.015869476274152396,12.10913552721204,11.041975116646995,1.0671604105650445,30.54540381382395,33.13177277418892,0.6944250329814017,0.011070359498968294,1.0
Flotation Column 02 Air Flow__std,42,0.014304886437151913,3.4585418877365646,3.4182828172794677,0.04025907045709687,5.302502865188111,4.9066135068238905,0.33919884274515133,0.026931326106541892,1.0
Flotation Column 03 Air Flow__std,43,0.01343455196913313,1.4135460564385054,1.4578843743419987,-0.044338317903493296,1.9116537753584093,1.716428078223052,0.011545690522658792,-0.07116975209974134,0.1616396673172231
Flotation Column 01 Level__std,44,0.013232697725526703,13.029555454525756,12.086628660203392,0.9429267943223643,26.492901968821172,27.096633634229473,0.2487609807230059,0.03249963672295039,1.0
Flotation Column 01 Air Flow__std,45,0.013176481709328383,0.7615024447323476,0.7724928595162797,-0.010990414783932034,1.59805332142783,1.308931978451015,0.15129414405183692,-0.040434769972972184,1.0
