experiment,fold,model,preprocess,sampling,class_weight,valid_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,brier,roc_auc,pr_auc,log_loss,best_f1_threshold,best_oof_f1,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_brier,oof_roc_auc,oof_pr_auc,oof_log_loss
dummy_prior,1,dummy,raw_no_clip,none,none,0.11585365853658537,0.8841463414634146,0.5,0.0,0.0,0.0,0.10243159958914974,0.5,0.11585365853658537,0.35858152383147296,,,,,,,,,,,
dummy_prior,2,dummy,raw_no_clip,none,none,0.11585365853658537,0.8841463414634146,0.5,0.0,0.0,0.0,0.10243159958914974,0.5,0.11585365853658537,0.35858152383147296,,,,,,,,,,,
dummy_prior,3,dummy,raw_no_clip,none,none,0.115995115995116,0.884004884004884,0.5,0.0,0.0,0.0,0.10254025406905502,0.5,0.115995115995116,0.3588688789936219,,,,,,,,,,,
dummy_prior,4,dummy,raw_no_clip,none,none,0.115995115995116,0.884004884004884,0.5,0.0,0.0,0.0,0.10254025406905502,0.5,0.115995115995116,0.3588688789936219,,,,,,,,,,,
dummy_prior,5,dummy,raw_no_clip,none,none,0.115995115995116,0.884004884004884,0.5,0.0,0.0,0.0,0.102540254069055,0.5,0.115995115995116,0.35886887899362185,,,,,,,,,,,
dummy_prior,oof,dummy,raw_no_clip,none,none,0.1159384915792043,,,,,,,,,,0.05,0.20778652668416447,0.1159384915792043,0.5,0.1159384915792043,1.0,0.20778652668416447,0.10249676045249542,0.4998343456653782,0.11590455836215674,0.35875385276322797
logistic_balanced,1,logistic,raw_no_clip,none,balanced,0.11585365853658537,0.6414634146341464,0.632595281306715,0.1861198738170347,0.6210526315789474,0.28640776699029125,0.21728648658108923,0.6893647912885663,0.23627428824527985,0.6189764735805865,,,,,,,,,,,
logistic_balanced,2,logistic,raw_no_clip,none,balanced,0.11585365853658537,0.6682926829268293,0.698076225045372,0.22082018927444794,0.7368421052631579,0.33980582524271846,0.21505266468204517,0.7495317604355717,0.2792615006952306,0.6188159319110493,,,,,,,,,,,
logistic_balanced,3,logistic,raw_no_clip,none,balanced,0.115995115995116,0.6862026862026862,0.68990985751672,0.22448979591836735,0.6947368421052632,0.3393316195372751,0.2061209217864814,0.7250363477755163,0.2495246385450337,0.5994029438179751,,,,,,,,,,,
logistic_balanced,4,logistic,raw_no_clip,none,balanced,0.115995115995116,0.6654456654456654,0.6370165745856353,0.1945392491467577,0.6,0.29381443298969073,0.21119960351299374,0.7025443442861297,0.2174218921168934,0.6086753803937031,,,,,,,,,,,
logistic_balanced,5,logistic,raw_no_clip,none,balanced,0.115995115995116,0.6923076923076923,0.6887903460308229,0.2264808362369338,0.6842105263157895,0.3403141361256545,0.1995120887544203,0.7447804594358824,0.3262758670539581,0.5774328352692467,,,,,,,,,,,
logistic_balanced,oof,logistic,raw_no_clip,none,balanced,0.1159384915792043,,,,,,,,,,0.595,0.3481727574750831,0.7605565047595801,0.6697706995262867,0.2543689320388349,0.5515789473684211,0.3481727574750831,0.20983744567876753,0.7216803743206719,0.2476756681011878,0.6046676622206539
random_forest_balanced,1,random_forest,raw_no_clip,none,balanced,0.11585365853658537,0.9,0.5821415607985481,0.8421052631578947,0.16842105263157894,0.2807017543859649,0.07698186089871063,0.8654519056261343,0.561754544277323,0.2728338322473383,,,,,,,,,,,
