feature,near_wrong_median,large_wrong_median,median_diff_large_minus_near,mannwhitney_p,cliffs_delta_large_vs_near
Flotation Column 07 Air Flow__std,1.5864763668711135,3.6654197905221517,2.0789434236510385,0.001269172182826938,0.3744
Flotation Column 01 Level,479.9773638888889,449.4827527777778,-30.494611111111055,0.005073372398608197,-0.3256
Flotation Column 05 Level__std,28.138749112800078,20.5736795872414,-7.565069525558677,0.022295167429497484,-0.2656
Flotation Column 02 Level,499.8924666666667,450.4235861111111,-49.468880555555586,0.03703477434789896,-0.2424
elapsed_hours,1489.0,1713.0,224.0,0.040275574503942105,0.2384
Ore Pulp Density,1.7081112777777778,1.6919775833333335,-0.016133694444444346,0.040951809161116653,-0.2376
Flotation Column 06 Air Flow__std,1.6298914597479408,4.841268041567593,3.2113765818196525,0.04671588131209952,0.2312
month,5.0,5.0,0.0,0.06423261492237907,0.2104
Flotation Column 05 Air Flow,299.9796055555555,299.8971944444445,-0.08241111111101418,0.07330883190797012,-0.208
Flotation Column 03 Level,455.7518805555556,449.51262499999996,-6.239255555555644,0.07817563378481004,-0.2048
Flotation Column 06 Air Flow,299.8045333333333,299.98006944444444,0.17553611111111422,0.08295433912715965,0.2016
Ore Pulp pH__std,0.05876161289014413,0.06624695639241601,0.007485343502271882,0.11361951707843922,0.184
Ore Pulp Flow__std,4.052409418699892,3.6522753808914765,-0.40013403780841506,0.12170356021669182,-0.18
Flotation Column 03 Air Flow,250.1091,299.8222888888889,49.71318888888891,0.13556497297956346,0.1736
Flotation Column 02 Level__std,14.450325135208235,17.919142605197244,3.468817469989009,0.16690695885469453,0.1608
Flotation Column 07 Level__std,33.6967376001339,32.402607889512524,-1.2941297106213767,0.1711796322291329,-0.1592
Flotation Column 03 Level__std,13.469325024868448,10.174226523815069,-3.2950985010533795,0.19142374906367332,-0.152
Ore Pulp Flow,399.7781625,399.7216888888888,-0.05647361111118698,0.20096623049951212,-0.1488
Flotation Column 01 Air Flow__std,0.6569993984365223,0.8047285455003304,0.14772914706380802,0.237090608990298,-0.1376
Flotation Column 06 Level__std,26.017135777550763,25.408786574681763,-0.6083492028690003,0.25390022371319265,-0.1328
Flotation Column 01 Air Flow,250.16258611111112,299.7542222222222,49.591636111111086,0.26555732018637457,0.1296
Flotation Column 07 Air Flow,299.7655111111111,299.80375555555554,0.038244444444444525,0.27152201679090304,0.128
Flotation Column 02 Air Flow,250.15775277777777,275.34018888888886,25.182436111111087,0.27152201679090304,0.128
Flotation Column 05 Air Flow__std,0.7144306278274664,1.3076319982925388,0.5932013704650725,0.28319859808620695,0.1248
Ore Pulp Density__std,0.01145462822606734,0.01474413265606439,0.0032895044299970505,0.28996365553878367,0.1232
hour,8.0,13.0,5.0,0.294076217516806,0.122
Flotation Column 04 Air Flow__std,0.72994009671499,0.7701859601582763,0.04024586344328629,0.2957659819215577,0.1216
% Silica Feed,14.98,14.35,-0.6300000000000008,0.3597471998936915,-0.1064
Amina Flow,530.5741,496.12039166666665,-34.453708333333395,0.3719912424570482,-0.104
Flotation Column 02 Air Flow__std,3.1898449605497765,3.5730128497426286,0.38316788919285205,0.5103069616303375,0.0768
Flotation Column 06 Level,397.5441638888889,356.34090416666663,-41.20325972222224,0.532699369151848,-0.0728
day,12.5,18.0,5.5,0.5367059560670713,0.072
Flotation Column 01 Level__std,13.883206281824563,12.565527487120765,-1.3176787947037987,0.569532503257159,-0.0664
% Iron Feed,55.135000000000005,55.91,0.7749999999999915,0.6041753989122775,0.0604
Flotation Column 04 Level,392.5785138888889,354.14541388888887,-38.433100000000024,0.6123683054421181,-0.0592
Starch Flow__std,523.8749202872555,475.1370547343145,-48.737865552940946,0.7174076711831379,-0.0424
Amina Flow__std,14.65593580146032,21.01215867131323,6.35622286985291,0.7277366196432564,0.0408
Flotation Column 04 Level__std,35.06512909518062,35.252391598819834,0.18726250363921082,0.7277366196432564,-0.0408
Flotation Column 03 Air Flow__std,1.3270947819377172,1.4774740860991913,0.15037930416147405,0.7485418654676034,0.0376
Ore Pulp pH,9.734672694444445,9.663621027777777,-0.0710516666666674,0.8173591109195852,-0.0272
Flotation Column 07 Level,363.18516666666665,355.41505416666666,-7.770112499999982,0.8442392855727232,-0.0232
Flotation Column 05 Level,366.1709519315672,351.28842499999996,-14.882526931567213,0.8658764106823897,-0.02
Starch Flow,3009.3748552777784,2921.52441455314,-87.85044072463825,0.9532727267129067,0.0072
dayofweek,3.0,3.0,0.0,0.9637141975859318,-0.0056
Flotation Column 04 Air Flow,299.9251375,299.9179888888889,-0.0071486111111198625,0.9642198193525616,0.0056
% Silica Feed__std,0.0,0.0,0.0,1.0,0.0
% Iron Feed__std,0.0,0.0,0.0,1.0,0.0
rows_per_timestamp,180.0,180.0,0.0,1.0,0.0
