column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
% Iron Feed,4097.0,56.29473029045643,5.158346678993791,42.74,45.38,48.209999999999994,52.67,56.08,59.72,64.03,64.03,65.78
% Silica Feed,4097.0,14.651732975347814,6.808236063393466,1.31,6.08,6.26,8.94,13.85,19.6,26.83,30.14,33.4
Starch Flow,4097.0,2869.142008603183,950.4800799344273,54.595482593457774,645.8284559708306,1312.3928428484505,2168.9689933111113,2908.3408472222222,3528.7274119241188,4387.9527755555555,5010.579149333333,6270.158798122075
Amina Flow,4097.0,488.14531806799897,83.68993668976469,242.92747701149557,257.1291225631118,327.3038555555556,436.0379666666667,502.4542833333333,549.5222555555555,599.9598733333333,639.7097171111111,736.9823777777779
Ore Pulp Flow,4097.0,397.5783855249913,8.37068343016626,376.83760419287273,378.23699816121814,380.20622958952555,398.8513555555556,399.84265555555555,400.5898833333334,409.8801612217966,416.7808427251984,418.07023225687556
Ore Pulp pH,4097.0,9.767641691106972,0.3780268496199253,8.753389181654445,8.766245617719822,9.050783656536888,9.540878166666667,9.795849777777779,10.030778777777778,10.338192777777778,10.570717266666666,10.807370334927779
Ore Pulp Density,4097.0,1.6803801954338393,0.06377454788477202,1.5199258936044446,1.5203147751695556,1.5325532777777777,1.6513520555555554,1.6957050555555555,1.7217898333333332,1.7624820666666667,1.7864705022222223,1.8324298888888888
Flotation Column 01 Air Flow,4097.0,280.1515794007248,29.410047682495126,175.88557916565168,177.66026643258553,242.75637082320333,250.0897666666667,299.8378388888889,299.95135,300.13051333333334,301.11014611111113,312.2954154883767
Flotation Column 02 Air Flow,4097.0,277.15970940304453,29.423337245859816,178.18842973231443,191.59384885825796,222.18017719950493,250.0968722222222,299.5267166666667,299.9799,300.4352988888889,301.11019066666665,309.88776666666666
Flotation Column 03 Air Flow,4097.0,281.08210372113075,28.373511119560053,177.20266531465222,192.23575139240666,248.82004222222227,250.08767222222224,299.8880888888889,299.9465944444445,300.02485222222225,300.1589786666667,302.783
Flotation Column 04 Air Flow,4097.0,299.44775225096976,2.4269485841322473,293.3366694169433,294.41424639917636,295.096,299.7288722222222,299.9109222222222,299.9819166666667,304.39543700213136,305.35291679094183,305.5966931392411
Flotation Column 05 Air Flow,4097.0,299.91787564681493,3.332540234299118,287.05644698919275,289.9852200707524,293.578341706917,299.68850555555554,299.92385,300.13818333333336,306.4,306.4,307.00970804938277
Flotation Column 06 Air Flow,4097.0,292.071095826717,29.59858971516185,196.51208248484832,237.64622622222225,249.92096111111113,268.6794188706217,299.8703777777778,300.0958722222222,349.5636538888889,350.18952399999995,354.9791166666667
Flotation Column 07 Air Flow,4097.0,290.7544710430049,27.219983059729767,199.72812222222223,249.07692288888887,249.93275555555556,283.15546944444446,299.8611666666667,300.11243333333334,349.65634777777774,349.89269444444443,351.26865555555554
Flotation Column 01 Level,4097.0,520.2443619246714,122.17561663829096,181.92562280701944,385.1127028888889,399.25181555555554,416.4681,499.61955555555556,599.7129388888889,800.6937144444445,849.4262630743536,859.025062272951
Flotation Column 02 Level,4097.0,522.6490435577633,116.05499729501146,224.90966270012945,346.93461320419254,398.92477777777776,449.24964444444447,499.8224666666666,599.3316222222222,799.4877044444445,816.7436476308674,827.7758736812895
Flotation Column 03 Level,4097.0,531.3520975478242,138.58808803608775,135.21450576037,325.09497444444446,399.25115555555556,405.36639444444444,499.5937055555556,600.2151055555555,838.6081074245513,881.3319606695987,884.8406983333333
Flotation Column 04 Level,4097.0,420.3212539424335,76.5855529221969,165.72505758807554,240.43559045135282,346.0010588888889,351.4900166666667,401.2729944444444,496.2018777777778,550.0911055555556,640.4988050217636,675.6319415887867
Flotation Column 05 Level,4097.0,425.2519906870421,75.03315277991226,214.7358942029,341.5974287777778,347.7202833333333,350.97957777777776,401.1276388888889,497.77557222222225,550.4910022222223,653.7878283725422,674.06817624811
Flotation Column 06 Level,4097.0,429.9413272089699,75.50724955539583,203.70292593369777,345.70466022222223,349.11114333333336,354.1282,407.5493944444445,497.8062111111111,575.9706122222223,655.5775315631929,698.5058317494611
Flotation Column 07 Level,4097.0,421.02151252347,72.55529536787643,185.06138849765335,320.67504881385855,347.31344777777775,350.93927777777776,400.9882611111111,462.2838861111111,550.2791077777778,631.6122447135647,655.5016026916339
% Iron Concentrate,4097.0,65.05008420795704,1.118099460164811,62.05,62.28077836338507,62.870000000000005,64.37,65.21,65.86,66.61,67.11,68.01
% Silica Concentrate,4097.0,2.326753722235782,1.1247830026289363,0.6,0.9896,1.08,1.44,2.0,3.01,4.73,5.269110617626667,5.53
% Iron Feed__std,4097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
% Silica Feed__std,4097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starch Flow__std,4097.0,632.8408843915832,416.01775982294015,0.0,8.876212218933677,71.61655335122832,279.4527007326486,589.3472454015272,927.2224445003338,1370.8780474004768,1656.3719089203946,2218.891539553263
Amina Flow__std,4097.0,28.320695258734425,22.77650539285695,0.0,1.4353492658134646,4.311446074847221,11.472738626279034,21.480157459359138,39.2334354146045,74.34242877352354,103.2147878434294,159.00821580676504
Ore Pulp Flow__std,4097.0,4.240712063386702,2.4600193695414942,0.0,0.1309925843853091,0.5502142242895698,3.224989481636605,3.8740956480150337,4.676229695468753,9.00237509644664,14.7316946101432,18.582765765686517
Ore Pulp pH__std,4097.0,0.06737441395189496,0.0486403237936283,0.0,6.595789397823151e-05,0.013284364227418665,0.033162693572700595,0.05678323007684335,0.08984944049922705,0.15651880185939734,0.2330322951663799,0.6050265829867378
Ore Pulp Density__std,4097.0,0.020643690782643567,0.017409548240096315,0.0,1.6259818186330083e-05,0.0016550452309992423,0.008049866285792445,0.016015529619716164,0.02834424130175683,0.054429529282260566,0.08333415047841898,0.12417952532639227
Flotation Column 01 Air Flow__std,4097.0,1.3424522708391007,3.298477824551198,0.0,0.030578009357718736,0.3332453943925015,0.4875503201633004,0.7686338840139155,1.3276233454937436,2.515660535036867,15.711455476580536,57.10538059620187
