,elapsed_hours,day,Amina Flow,% Silica Feed,% Iron Feed,dayofweek,Flotation Column 03 Air Flow,Flotation Column 01 Air Flow,Flotation Column 05 Level,Flotation Column 06 Level,hour,Ore Pulp pH,Flotation Column 02 Air Flow,Flotation Column 07 Level,month,Flotation Column 06 Level__std,Flotation Column 04 Air Flow,Flotation Column 04 Level,Flotation Column 02 Level,Flotation Column 03 Level,% Silica Concentrate,high_silica_risk
elapsed_hours,1.0,0.053726542520301665,0.06002369323868413,0.2197781910848963,-0.25987743145974096,-0.0022108650436787384,0.5951312386209354,0.5539939955819664,-0.027213863554312236,-0.031370757822788545,0.004462961414443308,0.049343198900257505,0.546930146212535,-0.06491284712461154,0.9843549690547635,0.03098683628327485,0.4402649372122681,0.013340498673754484,-0.30900915368792964,-0.2822043286167786,-0.10941283453141756,-0.03701942001629015
day,0.053726542520301665,1.0,-0.0032431590666885555,-0.09535022608502015,0.08841519442588605,-0.0094179927052708,0.08269254431665195,0.051793188564114405,0.018128800346904183,0.05516177084291879,0.0034996247378995967,-0.05887976433574324,0.13659888289433816,0.040409878080395166,-0.12288192829590193,0.08647497997720455,0.034795416594597735,0.043018422092741926,-0.12032183718303911,-0.07819849163647015,-0.038601326028291735,-0.0019715426518798606
Amina Flow,0.06002369323868413,-0.0032431590666885555,1.0,0.085842018932069,-0.0961030976735166,0.05461269066338197,0.11130626004444025,0.12184719866119713,-0.24275834677867658,-0.24484683470648244,-0.014381256897278377,0.134077600228055,0.1367984031921971,-0.1998788428753188,0.059932542351332926,0.0930912320065894,0.01828983468604657,-0.21359937152690114,-0.23572336080755518,-0.2900267179912907,0.17093805209385032,0.0609006645733186
% Silica Feed,0.2197781910848963,-0.09535022608502015,0.085842018932069,1.0,-0.9718334262339295,-0.0177163363204244,0.08475216780306806,0.09242419560869208,-0.04929844405825403,-0.023211577307824135,-0.0263663319609944,0.008208080877909363,0.18709757495512153,-0.05430932523099531,0.23479022376666076,0.14011487570255318,0.17054645858880638,-0.04081541878718784,-0.040832465003981876,-0.02468420366666858,0.07278007117637608,0.08068508950924537
% Iron Feed,-0.25987743145974096,0.08841519442588605,-0.0961030976735166,-0.9718334262339295,1.0,0.017290375652898014,-0.06261767089008154,-0.06283226500846237,0.026239596676919552,0.004395800022718057,0.013683922383534098,0.0076272257732352975,-0.17362917734948377,0.030098844188928435,-0.2732741578679145,-0.14874172297930582,-0.1456702688666497,0.019308750690203526,0.023017062042112287,0.016537598166191884,-0.07711249041747821,-0.075297011745769
dayofweek,-0.0022108650436787384,-0.0094179927052708,0.05461269066338197,-0.0177163363204244,0.017290375652898014,1.0,-0.007703272847203592,-0.011623482751030072,0.008077625420357505,-0.004170177984551917,-0.0010780454526558916,0.05479679890965133,0.004735607018553832,0.03919081742405416,-0.0007416588534676612,-0.09804882628409141,-0.0034373672280420446,0.014659123307947802,-0.05450722883933084,-0.046679023591156575,0.009046397065503475,0.0012092399237299512
Flotation Column 03 Air Flow,0.5951312386209354,0.08269254431665195,0.11130626004444025,0.08475216780306806,-0.06261767089008154,-0.007703272847203592,1.0,0.9599864291613576,-0.07264991927282197,-0.11947048877594686,-0.010165004713283705,0.19914598630223673,0.8791386711059241,-0.09964114523240683,0.5768665235067624,0.011851209295929553,0.5187195434240123,-0.05647846483800542,-0.46745436767532783,-0.3990814661375877,-0.22048047504710236,-0.13702459404105316
Flotation Column 01 Air Flow,0.5539939955819664,0.051793188564114405,0.12184719866119713,0.09242419560869208,-0.06283226500846237,-0.011623482751030072,0.9599864291613576,1.0,-0.10332937804056169,-0.1417035294179941,-0.005270657140510695,0.16824773626564188,0.8666026494758631,-0.1285205861382194,0.5412863107019746,0.025986933386310435,0.5028182634444843,-0.07438557916418884,-0.47203960425597463,-0.40681800331840756,-0.22086949662650512,-0.13552651530785068
Flotation Column 05 Level,-0.027213863554312236,0.018128800346904183,-0.24275834677867658,-0.04929844405825403,0.026239596676919552,0.008077625420357505,-0.07264991927282197,-0.10332937804056169,1.0,0.7157883430249712,0.025880698896173785,0.014026263254005739,-0.1283566629139942,0.836013319470405,-0.030190411474997438,-0.2163406099965643,-0.21856977006037753,0.7877829982733026,0.3182541153732001,0.38136783852536627,-0.19081992630859795,-0.10819391887616013
Flotation Column 06 Level,-0.031370757822788545,0.05516177084291879,-0.24484683470648244,-0.023211577307824135,0.004395800022718057,-0.004170177984551917,-0.11947048877594686,-0.1417035294179941,0.7157883430249712,1.0,0.015120099248530467,-0.09014860107369818,-0.14178573841798378,0.7453180060794388,-0.041385727363271375,-0.10103560279262802,-0.2688827848207752,0.6834720476649617,0.36230190698841686,0.38162060810227777,-0.12202154471488631,-0.06299600510337243
